dispersal_allowed,plate_id,pairwise_id,week,beta_diversity
no,CL,a94,5,0.163934426
no,CL,a95,5,0.140740741
no,CL,a96,5,0.286956522
no,CL,a97,5,0.286956522
no,CL,a98,5,0.203125
no,CL,a99,5,0.314814815
no,CL,a100,5,0.121212121
no,CL,a101,5,0.184
no,CL,a102,5,0.213114754
no,CL,a103,5,0.28
no,CL,a104,5,0.081081081
no,CL,a105,5,0.221374046
no,CL,a106,5,0.064220183
no,CL,a107,5,0.171717172
no,CL,a108,5,0.196078431
no,CL,a109,5,0.113043478
no,CL,a110,5,0.136842105
no,CL,a111,5,0.136842105
no,CL,a112,5,0.240740741
no,CL,a113,5,0.386363636
no,CL,a114,5,0.142857143
no,CL,a115,5,0.219047619
no,CL,a116,5,0.196078431
no,CL,a117,5,0.085714286
no,CL,a118,5,0.203125
no,CL,a119,5,0.081081081
no,CL,a120,5,0.094339623
no,CL,a121,5,0.119266055
no,CL,a122,5,0.049180328
no,CL,a123,5,0.196078431
no,CL,a124,5,0.196078431
no,CL,a125,5,0.234782609
no,CL,a126,5,0.284210526
no,CL,a127,5,0.075630252
no,CL,a128,5,0.267857143
no,CL,a129,5,0.119266055
no,CL,a130,5,0.142857143
no,CL,a131,5,0.140740741
no,CL,a132,5,0.13559322
no,CL,a133,5,0.03030303
no,CL,a134,5,0.142857143
no,CL,a135,5,0.108695652
no,CL,a136,5,0.108695652
no,CL,a137,5,0.161904762
no,CL,a138,5,0.2
no,CL,a139,5,0.119266055
no,CL,a140,5,0.196078431
no,CL,a141,5,0.171717172
no,CL,a142,5,0.254901961
no,CL,a143,5,0.232
no,CL,a144,5,0.240740741
no,CL,a145,5,0.165217391
no,CL,a146,5,0.136842105
no,CL,a147,5,0.136842105
no,CL,a148,5,0.12962963
no,CL,a149,5,0.227272727
no,CL,a150,5,0.142857143
no,CL,a151,5,0.161904762
no,CL,a152,5,0.196078431
no,CL,a153,5,0.276190476
no,CL,a154,5,0.203125
no,CL,a155,5,0.261261261
no,CL,a156,5,0.240740741
no,CL,a157,5,0.240740741
no,CL,a158,5,0.223140496
no,CL,a159,5,0.267326733
no,CL,a160,5,0.072
no,CL,a161,5,0.305084746
no,CL,a162,5,0.113043478
no,CL,a163,5,0.13559322
no,CL,a164,5,0.092198582
no,CL,a165,5,0.129032258
no,CL,a166,5,0
no,CL,a167,5,0.128712871
no,CL,a168,5,0.333333333
no,CL,a169,5,0.161904762
no,CL,a170,5,0.102040816
no,CL,a171,5,0.284210526
no,CL,a172,5,0.163265306
no,CL,a173,5,0.272727273
no,CL,a174,5,0.153846154
no,CL,a175,5,0.128712871
no,CL,a176,5,0.333333333
no,CL,a177,5,0.161904762
no,CL,a178,5,0.102040816
no,CL,a179,5,0.284210526
no,CL,a180,5,0.163265306
no,CL,a181,5,0.272727273
no,CL,a182,5,0.153846154
no,CL,a183,5,0.361702128
no,CL,a184,5,0.203389831
no,CL,a185,5,0.081081081
no,CL,a186,5,0.259259259
no,CL,a187,5,0.207207207
no,CL,a188,5,0.149253731
no,CL,a189,5,0.196581197
no,CL,a190,5,0.244897959
no,CL,a191,5,0.406593407
no,CL,a192,5,0.227272727
no,CL,a193,5,0.472527473
no,CL,a194,5,0.350877193
no,CL,a195,5,0.443298969
no,CL,a196,5,0.234782609
no,CL,a197,5,0.142857143
no,CL,a198,5,0.165217391
no,CL,a199,5,0.115942029
no,CL,a200,5,0.157024793
no,CL,a201,5,0.352380952
no,CL,a202,5,0.240740741
no,CL,a203,5,0.175572519
no,CL,a204,5,0.228070175
no,CL,a205,5,0.219047619
no,CL,a206,5,0.203125
no,CL,a207,5,0.207207207
no,CL,a208,5,0.175572519
no,CL,a209,5,0.052631579
no,CL,a210,5,0.167883212
no,CL,a1,6,0.113402062
no,CL,a2,6,0.204819277
no,CL,a3,6,0.277108434
no,CL,a4,6,0.5
no,CL,a5,6,0.28
no,CL,a6,6,0.172413793
no,CL,a7,6,0.257731959
no,CL,a8,6,0.24137931
no,CL,a9,6,0.204819277
no,CL,a10,6,0.2
no,CL,a11,6,0.13253012
no,CL,a12,6,0.13253012
no,CL,a13,6,0.175257732
no,CL,a14,6,0.394736842
no,CL,a15,6,0.1875
no,CL,a16,6,0.191011236
no,CL,a17,6,0.29787234
no,CL,a18,6,0.162790698
no,CL,a19,6,0.238938053
no,CL,a20,6,0.113402062
no,CL,a21,6,0.212765957
no,CL,a22,6,0.361702128
no,CL,a23,6,0.472527473
no,CL,a24,6,0.279279279
no,CL,a25,6,0.102040816
no,CL,a26,6,0.12962963
no,CL,a27,6,0.244897959
no,CL,a28,6,0.29787234
no,CL,a29,6,0.153153153
no,CL,a30,6,0.14893617
no,CL,a31,6,0.14893617
no,CL,a32,6,0.185185185
no,CL,a33,6,0.471264368
no,CL,a34,6,0.196261682
no,CL,a35,6,0.28
no,CL,a36,6,0.219047619
no,CL,a37,6,0.113402062
no,CL,a38,6,0.193548387
